Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Client_form_02,Chrome 72.0.3626.109,,2019-02-21 13:01:08,2019-02-21 13:01:43,34.284s,PASSED
,,,,,,
Test Cases/Login_page_info/Login_valid_info_1,Chrome 72.0.3626.109,,2019-02-21 13:01:09,2019-02-21 13:01:21,11.647s,PASSED
comment,Chrome 72.0.3626.109,,2019-02-21 13:01:09,2019-02-21 13:01:09,0.051s,PASSED
openBrowser,Chrome 72.0.3626.109,,2019-02-21 13:01:09,2019-02-21 13:01:13,4.210s,PASSED
navigateToUrl,Chrome 72.0.3626.109,Thor URL,2019-02-21 13:01:13,2019-02-21 13:01:17,3.063s,PASSED
setText,Chrome 72.0.3626.109,"Enter""E-mail""",2019-02-21 13:01:17,2019-02-21 13:01:17,0.210s,PASSED
setEncryptedText,Chrome 72.0.3626.109,"Enter""Password""
",2019-02-21 13:01:17,2019-02-21 13:01:17,0.252s,PASSED
click,Chrome 72.0.3626.109,"Click ""Login"" button",2019-02-21 13:01:17,2019-02-21 13:01:20,3.436s,PASSED
verifyElementPresent,Chrome 72.0.3626.109,Very Successful Login,2019-02-21 13:01:20,2019-02-21 13:01:21,0.063s,PASSED
,,,,,,
Test Cases/Configuration_info/client_form_02,Chrome 72.0.3626.109,,2019-02-21 13:01:21,2019-02-21 13:01:42,21.573s,PASSED
comment,Chrome 72.0.3626.109,,2019-02-21 13:01:21,2019-02-21 13:01:21,0.004s,PASSED
click,Chrome 72.0.3626.109,"Click on ""configuration Button""
",2019-02-21 13:01:21,2019-02-21 13:01:22,1.335s,PASSED
delay,Chrome 72.0.3626.109,,2019-02-21 13:01:22,2019-02-21 13:01:27,5.012s,PASSED
click,Chrome 72.0.3626.109,"Click on ""client Form"" tab
",2019-02-21 13:01:27,2019-02-21 13:01:29,2.281s,PASSED
delay,Chrome 72.0.3626.109,,2019-02-21 13:01:29,2019-02-21 13:01:34,5.005s,PASSED
click,Chrome 72.0.3626.109,"Click on ""Edit"" button
",2019-02-21 13:01:34,2019-02-21 13:01:35,0.144s,PASSED
"Statement - If (com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configuration_Info/Client_form_01).getValue(7, 1))",Chrome 72.0.3626.109,If Value== Yes,2019-02-21 13:01:35,2019-02-21 13:01:40,5.186s,PASSED
click,Chrome 72.0.3626.109,"Click on ""Save "" Button
",2019-02-21 13:01:40,2019-02-21 13:01:42,2.281s,PASSED
